Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(model_trainer.py:429726): Gdk-CRITICAL **: 17:52:54.293: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Epochs:  100000
Pretrained:  False
SAM:  False
Adversarial Training Type:  None
Files already downloaded and verified
Files already downloaded and verified
CIFAR10 Data Loaded
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
Epoch:  21450 	Loss:  2.302622079849243
Epoch:  21460 	Loss:  2.302722215652466
Epoch:  21470 	Loss:  2.3026368618011475
Epoch:  21480 	Loss:  2.3026397228240967
Epoch:  21490 	Loss:  2.302640676498413
Epoch:  21500 	Loss:  2.302600145339966
Epoch:  21510 	Loss:  2.3025693893432617
Epoch:  21520 	Loss:  2.3025803565979004
Epoch:  21530 	Loss:  2.302687168121338
Epoch:  21540 	Loss:  2.3026459217071533
Epoch:  21550 	Loss:  2.302582263946533
Epoch:  21560 	Loss:  2.3026046752929688
Epoch:  21570 	Loss:  2.302572727203369
Epoch:  21580 	Loss:  2.302583932876587
Epoch:  21590 	Loss:  2.302542209625244
Epoch:  21600 	Loss:  2.3025476932525635
Epoch:  21610 	Loss:  2.302541494369507
Epoch:  21620 	Loss:  2.3027288913726807
Epoch:  21630 	Loss:  2.30263090133667
Epoch:  21640 	Loss:  2.3025667667388916
Epoch:  21650 	Loss:  2.302616596221924
Epoch:  21660 	Loss:  2.3027048110961914
Epoch:  21670 	Loss:  2.3025307655334473
Epoch:  21680 	Loss:  2.302595853805542
Epoch:  21690 	Loss:  2.302525758743286
Epoch:  21700 	Loss:  2.3026375770568848
Epoch:  21710 	Loss:  2.302546262741089
Epoch:  21720 	Loss:  2.3026487827301025
Epoch:  21730 	Loss:  2.3028244972229004
Epoch:  21740 	Loss:  2.302595615386963
Epoch:  21750 	Loss:  2.3025803565979004
Epoch:  21760 	Loss:  2.302639961242676
Epoch:  21770 	Loss:  2.3026041984558105
Epoch:  21780 	Loss:  2.3026020526885986
Epoch:  21790 	Loss:  2.302736282348633
Epoch:  21800 	Loss:  2.302539348602295
Epoch:  21810 	Loss:  2.3026700019836426
Epoch:  21820 	Loss:  2.3025903701782227
Epoch:  21830 	Loss:  2.3026771545410156
Epoch:  21840 	Loss:  2.3026976585388184
Epoch:  21850 	Loss:  2.3026351928710938
Epoch:  21860 	Loss:  2.302579402923584
Epoch:  21870 	Loss:  2.3026366233825684
Epoch:  21880 	Loss:  2.302581310272217
Epoch:  21890 	Loss:  2.302704334259033
Epoch:  21900 	Loss:  2.3026363849639893
Epoch:  21910 	Loss:  2.30265474319458
Epoch:  21920 	Loss:  2.3026278018951416
Epoch:  21930 	Loss:  2.3025875091552734
Epoch:  21940 	Loss:  2.3025684356689453
Epoch:  21950 	Loss:  2.302727460861206
Epoch:  21960 	Loss:  2.3025131225585938
Epoch:  21970 	Loss:  2.302635669708252
Epoch:  21980 	Loss:  2.3025028705596924
Epoch:  21990 	Loss:  2.3026485443115234
Epoch:  22000 	Loss:  2.3026278018951416
Epoch:  22010 	Loss:  2.30261492729187
Epoch:  22020 	Loss:  2.3026280403137207
Epoch:  22030 	Loss:  2.3026187419891357
Epoch:  22040 	Loss:  2.3025450706481934
Epoch:  22050 	Loss:  2.3025872707366943
Epoch:  22060 	Loss:  2.302579164505005
Epoch:  22070 	Loss:  2.302700996398926
Epoch:  22080 	Loss:  2.3026108741760254
Epoch:  22090 	Loss:  2.3025896549224854
Epoch:  22100 	Loss:  2.3025662899017334
Epoch:  22110 	Loss:  2.3026397228240967
Epoch:  22120 	Loss:  2.302541971206665
Epoch:  22130 	Loss:  2.3026318550109863
Epoch:  22140 	Loss:  2.3025529384613037
Epoch:  22150 	Loss:  2.3026175498962402
Epoch:  22160 	Loss:  2.3026340007781982
Epoch:  22170 	Loss:  2.302570104598999
Epoch:  22180 	Loss:  2.3025975227355957
Epoch:  22190 	Loss:  2.3025195598602295
Epoch:  22200 	Loss:  2.3026316165924072
Epoch:  22210 	Loss:  2.302617073059082
Epoch:  22220 	Loss:  2.302581787109375
Epoch:  22230 	Loss:  2.3025126457214355
Epoch:  22240 	Loss:  2.3025684356689453
Epoch:  22250 	Loss:  2.3025805950164795
Epoch:  22260 	Loss:  2.3026115894317627
Epoch:  22270 	Loss:  2.302567958831787
Epoch:  22280 	Loss:  2.3026747703552246
Epoch:  22290 	Loss:  2.302677869796753
Epoch:  22300 	Loss:  2.3025522232055664
Epoch:  22310 	Loss:  2.302521228790283
Epoch:  22320 	Loss:  2.3026509284973145
Epoch:  22330 	Loss:  2.3025944232940674
Epoch:  22340 	Loss:  2.3025920391082764
Epoch:  22350 	Loss:  2.302584171295166
Epoch:  22360 	Loss:  2.3026163578033447
Epoch:  22370 	Loss:  2.302619695663452
Epoch:  22380 	Loss:  2.3027031421661377
Epoch:  22390 	Loss:  2.3025684356689453
Epoch:  22400 	Loss:  2.3027215003967285
Epoch:  22410 	Loss:  2.3026010990142822
Epoch:  22420 	Loss:  2.3026204109191895
Epoch:  22430 	Loss:  2.3026671409606934
Epoch:  22440 	Loss:  2.3026251792907715
Epoch:  22450 	Loss:  2.302581310272217
Epoch:  22460 	Loss:  2.3025906085968018
Epoch:  22470 	Loss:  2.302680015563965
Epoch:  22480 	Loss:  2.302621364593506
Epoch:  22490 	Loss:  2.302558183670044
Epoch:  22500 	Loss:  2.302631378173828
Epoch:  22510 	Loss:  2.3025577068328857
Epoch:  22520 	Loss:  2.3024768829345703
Epoch:  22530 	Loss:  2.302586317062378
Epoch:  22540 	Loss:  2.302642345428467
Epoch:  22550 	Loss:  2.3026599884033203
Epoch:  22560 	Loss:  2.3025283813476562
Epoch:  22570 	Loss:  2.3026061058044434
Epoch:  22580 	Loss:  2.3026418685913086
Epoch:  22590 	Loss:  2.3026697635650635
Epoch:  22600 	Loss:  2.302647113800049
Epoch:  22610 	Loss:  2.302603244781494
Epoch:  22620 	Loss:  2.3026785850524902
Epoch:  22630 	Loss:  2.302623748779297
Epoch:  22640 	Loss:  2.302626609802246
Epoch:  22650 	Loss:  2.302579164505005
Epoch:  22660 	Loss:  2.302619457244873
Epoch:  22670 	Loss:  2.3027162551879883
Epoch:  22680 	Loss:  2.302626132965088
Epoch:  22690 	Loss:  2.302640676498413
Epoch:  22700 	Loss:  2.3026885986328125
Epoch:  22710 	Loss:  2.30263614654541
Epoch:  22720 	Loss:  2.3025574684143066
Epoch:  22730 	Loss:  2.3026397228240967
Epoch:  22740 	Loss:  2.302481174468994
Epoch:  22750 	Loss:  2.3027100563049316
Epoch:  22760 	Loss:  2.3025622367858887
Epoch:  22770 	Loss:  2.302537441253662
Epoch:  22780 	Loss:  2.3026223182678223
Epoch:  22790 	Loss:  2.30260968208313
Epoch:  22800 	Loss:  2.302616596221924
Epoch:  22810 	Loss:  2.3026483058929443
Epoch:  22820 	Loss:  2.302560567855835
Epoch:  22830 	Loss:  2.3025808334350586
Epoch:  22840 	Loss:  2.30256986618042
Epoch:  22850 	Loss:  2.3025479316711426
Epoch:  22860 	Loss:  2.302605628967285
Epoch:  22870 	Loss:  2.3027539253234863
Epoch:  22880 	Loss:  2.302521228790283
Epoch:  22890 	Loss:  2.3027358055114746
Epoch:  22900 	Loss:  2.30263090133667
Epoch:  22910 	Loss:  2.302556037902832
Epoch:  22920 	Loss:  2.3026223182678223
Epoch:  22930 	Loss:  2.3026862144470215
Epoch:  22940 	Loss:  2.3026514053344727
Epoch:  22950 	Loss:  2.3025832176208496
Epoch:  22960 	Loss:  2.3026256561279297
Epoch:  22970 	Loss:  2.3026089668273926
Epoch:  22980 	Loss:  2.302595853805542
Epoch:  22990 	Loss:  2.3025994300842285
Epoch:  23000 	Loss:  2.3025622367858887
Epoch:  23010 	Loss:  2.302628755569458
Epoch:  23020 	Loss:  2.3025708198547363
Epoch:  23030 	Loss:  2.3027191162109375
Epoch:  23040 	Loss:  2.3026745319366455
Epoch:  23050 	Loss:  2.3026015758514404
Epoch:  23060 	Loss:  2.3026041984558105
Epoch:  23070 	Loss:  2.3025269508361816
Epoch:  23080 	Loss:  2.302668571472168
Epoch:  23090 	Loss:  2.3025808334350586
Epoch:  23100 	Loss:  2.30259370803833
Epoch:  23110 	Loss:  2.3026561737060547
Epoch:  23120 	Loss:  2.302605152130127
Epoch:  23130 	Loss:  2.3026435375213623
Epoch:  23140 	Loss:  2.3025262355804443
Epoch:  23150 	Loss:  2.3026552200317383
Epoch:  23160 	Loss:  2.302579402923584
Epoch:  23170 	Loss:  2.302603006362915
Epoch:  23180 	Loss:  2.302558422088623
Epoch:  23190 	Loss:  2.302614212036133
Epoch:  23200 	Loss:  2.3026466369628906
Epoch:  23210 	Loss:  2.3026416301727295
Epoch:  23220 	Loss:  2.302581310272217
Epoch:  23230 	Loss:  2.3025546073913574
Epoch:  23240 	Loss:  2.302569627761841
Epoch:  23250 	Loss:  2.3025896549224854
Epoch:  23260 	Loss:  2.3025898933410645
Epoch:  23270 	Loss:  2.302682399749756
Epoch:  23280 	Loss:  2.3025290966033936
Epoch:  23290 	Loss:  2.3025436401367188
Epoch:  23300 	Loss:  2.3025879859924316
Epoch:  23310 	Loss:  2.3025994300842285
Epoch:  23320 	Loss:  2.3026299476623535
Epoch:  23330 	Loss:  2.3026227951049805
Epoch:  23340 	Loss:  2.3025622367858887
Epoch:  23350 	Loss:  2.3025577068328857
Epoch:  23360 	Loss:  2.3025848865509033
Epoch:  23370 	Loss:  2.3026490211486816
Epoch:  23380 	Loss:  2.302659273147583
Epoch:  23390 	Loss:  2.3025929927825928
Epoch:  23400 	Loss:  2.302640676498413
Epoch:  23410 	Loss:  2.3025879859924316
Epoch:  23420 	Loss:  2.30253529548645
Epoch:  23430 	Loss:  2.30259108543396
Epoch:  23440 	Loss:  2.302682399749756
Epoch:  23450 	Loss:  2.3026950359344482
Epoch:  23460 	Loss:  2.3026504516601562
Epoch:  23470 	Loss:  2.302640676498413
Epoch:  23480 	Loss:  2.3025877475738525
Epoch:  23490 	Loss:  2.302555799484253
Epoch:  23500 	Loss:  2.30264949798584
Epoch:  23510 	Loss:  2.3025896549224854
Epoch:  23520 	Loss:  2.302598476409912
Epoch:  23530 	Loss:  2.302577495574951
Epoch:  23540 	Loss:  2.302626848220825
Epoch:  23550 	Loss:  2.3027448654174805
Epoch:  23560 	Loss:  2.3026068210601807
Epoch:  23570 	Loss:  2.302602767944336
Epoch:  23580 	Loss:  2.302610158920288
Epoch:  23590 	Loss:  2.3026249408721924
Epoch:  23600 	Loss:  2.3026959896087646
Epoch:  23610 	Loss:  2.3024966716766357
Epoch:  23620 	Loss:  2.3025965690612793
Epoch:  23630 	Loss:  2.302605390548706
Epoch:  23640 	Loss:  2.302672863006592
Epoch:  23650 	Loss:  2.302604913711548
Epoch:  23660 	Loss:  2.302605628967285
Epoch:  23670 	Loss:  2.3025708198547363
Epoch:  23680 	Loss:  2.302699327468872
Epoch:  23690 	Loss:  2.3026607036590576
Epoch:  23700 	Loss:  2.302612066268921
Epoch:  23710 	Loss:  2.302611827850342
Epoch:  23720 	Loss:  2.302656888961792
Epoch:  23730 	Loss:  2.3025941848754883
Epoch:  23740 	Loss:  2.3026041984558105
Epoch:  23750 	Loss:  2.3026185035705566
Epoch:  23760 	Loss:  2.3025410175323486
Epoch:  23770 	Loss:  2.3026206493377686
Epoch:  23780 	Loss:  2.302615165710449
Epoch:  23790 	Loss:  2.3026301860809326
Epoch:  23800 	Loss:  2.302675724029541
Epoch:  23810 	Loss:  2.302635908126831
Epoch:  23820 	Loss:  2.3026845455169678
Epoch:  23830 	Loss:  2.302528142929077
Epoch:  23840 	Loss:  2.3026013374328613
Epoch:  23850 	Loss:  2.3026375770568848
Epoch:  23860 	Loss:  2.302459239959717
Epoch:  23870 	Loss:  2.302619695663452
Epoch:  23880 	Loss:  2.30265736579895
Epoch:  23890 	Loss:  2.302640914916992
Epoch:  23900 	Loss:  2.30263090133667
Epoch:  23910 	Loss:  2.302539110183716
Epoch:  23920 	Loss:  2.302579164505005
Epoch:  23930 	Loss:  2.302553653717041
Epoch:  23940 	Loss:  2.302626132965088
Epoch:  23950 	Loss:  2.3026211261749268
Epoch:  23960 	Loss:  2.302537679672241
Epoch:  23970 	Loss:  2.3026328086853027
Epoch:  23980 	Loss:  2.3025994300842285
Epoch:  23990 	Loss:  2.302690029144287
Epoch:  24000 	Loss:  2.302638053894043
Epoch:  24010 	Loss:  2.30265736579895
Epoch:  24020 	Loss:  2.3025479316711426
Epoch:  24030 	Loss:  2.302506923675537
Epoch:  24040 	Loss:  2.302645206451416
Epoch:  24050 	Loss:  2.30271577835083
Epoch:  24060 	Loss:  2.302546977996826
Epoch:  24070 	Loss:  2.302546262741089
Epoch:  24080 	Loss:  2.3026087284088135
Epoch:  24090 	Loss:  2.302626609802246
Epoch:  24100 	Loss:  2.3026700019836426
Epoch:  24110 	Loss:  2.3026132583618164
Epoch:  24120 	Loss:  2.3025224208831787
Epoch:  24130 	Loss:  2.302551746368408
Epoch:  24140 	Loss:  2.3026275634765625
Epoch:  24150 	Loss:  2.302621364593506
Epoch:  24160 	Loss:  2.302537441253662
Epoch:  24170 	Loss:  2.3027079105377197
Epoch:  24180 	Loss:  2.3026232719421387
Epoch:  24190 	Loss:  2.3024826049804688
Epoch:  24200 	Loss:  2.3026015758514404
Epoch:  24210 	Loss:  2.3025460243225098
Epoch:  24220 	Loss:  2.3025918006896973
Epoch:  24230 	Loss:  2.3026328086853027
Epoch:  24240 	Loss:  2.3025131225585938
Epoch:  24250 	Loss:  2.3024916648864746
Epoch:  24260 	Loss:  2.3026344776153564
Epoch:  24270 	Loss:  2.302579402923584
Epoch:  24280 	Loss:  2.3026363849639893
Epoch:  24290 	Loss:  2.302506685256958
Epoch:  24300 	Loss:  2.3025965690612793
Epoch:  24310 	Loss:  2.3025894165039062
Epoch:  24320 	Loss:  2.3026139736175537
Epoch:  24330 	Loss:  2.302678346633911
Epoch:  24340 	Loss:  2.3027191162109375
Epoch:  24350 	Loss:  2.30259108543396
Epoch:  24360 	Loss:  2.302555561065674
Epoch:  24370 	Loss:  2.302730083465576
Epoch:  24380 	Loss:  2.3026022911071777
Epoch:  24390 	Loss:  2.3026347160339355
Epoch:  24400 	Loss:  2.302577018737793
Epoch:  24410 	Loss:  2.302722692489624
Epoch:  24420 	Loss:  2.302596092224121
Epoch:  24430 	Loss:  2.3026013374328613
Epoch:  24440 	Loss:  2.3025906085968018
Epoch:  24450 	Loss:  2.3025074005126953
Epoch:  24460 	Loss:  2.3026180267333984
Epoch:  24470 	Loss:  2.302609443664551
Epoch:  24480 	Loss:  2.302607774734497
Epoch:  24490 	Loss:  2.302656650543213
Epoch:  24500 	Loss:  2.3025972843170166
Epoch:  24510 	Loss:  2.3026819229125977
Epoch:  24520 	Loss:  2.302603244781494
Epoch:  24530 	Loss:  2.302727460861206
Epoch:  24540 	Loss:  2.3025896549224854
Epoch:  24550 	Loss:  2.3025577068328857
Epoch:  24560 	Loss:  2.3026483058929443
Epoch:  24570 	Loss:  2.3026504516601562
Epoch:  24580 	Loss:  2.302623987197876
Epoch:  24590 	Loss:  2.302583932876587
Epoch:  24600 	Loss:  2.3026294708251953
Epoch:  24610 	Loss:  2.30256724357605
Epoch:  24620 	Loss:  2.302619695663452
Epoch:  24630 	Loss:  2.3026084899902344
Epoch:  24640 	Loss:  2.3025588989257812
Epoch:  24650 	Loss:  2.302553653717041
Epoch:  24660 	Loss:  2.302640676498413
Epoch:  24670 	Loss:  2.302572011947632
Epoch:  24680 	Loss:  2.3026628494262695
Epoch:  24690 	Loss:  2.3026862144470215
Epoch:  24700 	Loss:  2.3026347160339355
Epoch:  24710 	Loss:  2.3026442527770996
Epoch:  24720 	Loss:  2.302687883377075
Epoch:  24730 	Loss:  2.30263352394104
Epoch:  24740 	Loss:  2.302720308303833
Epoch:  24750 	Loss:  2.3026041984558105
Epoch:  24760 	Loss:  2.3026270866394043
Epoch:  24770 	Loss:  2.302591323852539
Epoch:  24780 	Loss:  2.3025221824645996
Epoch:  24790 	Loss:  2.3026061058044434
Epoch:  24800 	Loss:  2.302554130554199
Epoch:  24810 	Loss:  2.302586078643799
Epoch:  24820 	Loss:  2.3025569915771484
Epoch:  24830 	Loss:  2.3026647567749023
Epoch:  24840 	Loss:  2.3026204109191895
Epoch:  24850 	Loss:  2.302640199661255
Epoch:  24860 	Loss:  2.3025779724121094
Epoch:  24870 	Loss:  2.3026411533355713
Epoch:  24880 	Loss:  2.3026106357574463
Epoch:  24890 	Loss:  2.302516460418701
Epoch:  24900 	Loss:  2.302520275115967
Epoch:  24910 	Loss:  2.3025925159454346
Epoch:  24920 	Loss:  2.30263352394104
Epoch:  24930 	Loss:  2.3025569915771484
Epoch:  24940 	Loss:  2.3026061058044434
Epoch:  24950 	Loss:  2.3025975227355957
Epoch:  24960 	Loss:  2.3025710582733154
Epoch:  24970 	Loss:  2.302586555480957
Epoch:  24980 	Loss:  2.3026270866394043
Epoch:  24990 	Loss:  2.302530288696289
Epoch:  25000 	Loss:  2.302565574645996
Epoch:  25010 	Loss:  2.3026442527770996
Epoch:  25020 	Loss:  2.302584171295166
Epoch:  25030 	Loss:  2.302753210067749
Epoch:  25040 	Loss:  2.3025147914886475
Epoch:  25050 	Loss:  2.3027186393737793
Epoch:  25060 	Loss:  2.302597761154175
Epoch:  25070 	Loss:  2.3026108741760254
Epoch:  25080 	Loss:  2.3026299476623535
Epoch:  25090 	Loss:  2.3027524948120117
Epoch:  25100 	Loss:  2.3028440475463867
Epoch:  25110 	Loss:  2.3025543689727783
Epoch:  25120 	Loss:  2.3026123046875
Epoch:  25130 	Loss:  2.302593946456909
Epoch:  25140 	Loss:  2.3025665283203125
Epoch:  25150 	Loss:  2.3025600910186768
Epoch:  25160 	Loss:  2.302619457244873
Epoch:  25170 	Loss:  2.302593469619751
Epoch:  25180 	Loss:  2.3027279376983643
Epoch:  25190 	Loss:  2.3026511669158936
Epoch:  25200 	Loss:  2.302640438079834
Epoch:  25210 	Loss:  2.3025200366973877
Epoch:  25220 	Loss:  2.3025689125061035
Epoch:  25230 	Loss:  2.3025853633880615
Epoch:  25240 	Loss:  2.3025763034820557
Epoch:  25250 	Loss:  2.302654266357422
Epoch:  25260 	Loss:  2.30259370803833
Epoch:  25270 	Loss:  2.3025965690612793
Epoch:  25280 	Loss:  2.3026349544525146
Epoch:  25290 	Loss:  2.3025832176208496
Epoch:  25300 	Loss:  2.3026766777038574
Epoch:  25310 	Loss:  2.3025219440460205
Epoch:  25320 	Loss:  2.3026816844940186
Epoch:  25330 	Loss:  2.3025708198547363
Epoch:  25340 	Loss:  2.3025527000427246
Epoch:  25350 	Loss:  2.3026766777038574
Epoch:  25360 	Loss:  2.3024818897247314
Epoch:  25370 	Loss:  2.3025834560394287
Epoch:  25380 	Loss:  2.302595615386963
Epoch:  25390 	Loss:  2.3026177883148193
Epoch:  25400 	Loss:  2.302560329437256
Epoch:  25410 	Loss:  2.3026580810546875
Epoch:  25420 	Loss:  2.302673816680908
Epoch:  25430 	Loss:  2.30267071723938
Epoch:  25440 	Loss:  2.3025875091552734
Epoch:  25450 	Loss:  2.3026130199432373
Epoch:  25460 	Loss:  2.3025612831115723
Epoch:  25470 	Loss:  2.30263090133667
Epoch:  25480 	Loss:  2.3025355339050293
Epoch:  25490 	Loss:  2.302608013153076
Epoch:  25500 	Loss:  2.302661895751953
Epoch:  25510 	Loss:  2.3024134635925293
Epoch:  25520 	Loss:  2.3026561737060547
Epoch:  25530 	Loss:  2.3027560710906982
Epoch:  25540 	Loss:  2.3025336265563965
Epoch:  25550 	Loss:  2.3026845455169678
Epoch:  25560 	Loss:  2.302490234375
Epoch:  25570 	Loss:  2.3026540279388428
Epoch:  25580 	Loss:  2.302626132965088
Epoch:  25590 	Loss:  2.302619457244873
Epoch:  25600 	Loss:  2.3026270866394043
Epoch:  25610 	Loss:  2.302543878555298
Epoch:  25620 	Loss:  2.302614688873291
Epoch:  25630 	Loss:  2.30259370803833
Epoch:  25640 	Loss:  2.3025639057159424
Epoch:  25650 	Loss:  2.302612066268921
Epoch:  25660 	Loss:  2.3025569915771484
Epoch:  25670 	Loss:  2.3025729656219482
Epoch:  25680 	Loss:  2.302666664123535
Epoch:  25690 	Loss:  2.302633762359619
Epoch:  25700 	Loss:  2.3024823665618896
Epoch:  25710 	Loss:  2.3026368618011475
Epoch:  25720 	Loss:  2.3026390075683594
Epoch:  25730 	Loss:  2.302612781524658
Epoch:  25740 	Loss:  2.302600383758545
Epoch:  25750 	Loss:  2.302617073059082
Epoch:  25760 	Loss:  2.302543878555298
Epoch:  25770 	Loss:  2.3025407791137695
Epoch:  25780 	Loss:  2.302642345428467
Epoch:  25790 	Loss:  2.3026347160339355
Epoch:  25800 	Loss:  2.302626371383667
Epoch:  25810 	Loss:  2.302645683288574
Epoch:  25820 	Loss:  2.302548885345459
Epoch:  25830 	Loss:  2.3025717735290527
Epoch:  25840 	Loss:  2.302690267562866
Epoch:  25850 	Loss:  2.3026440143585205
Epoch:  25860 	Loss:  2.3026323318481445
Epoch:  25870 	Loss:  2.302542209625244
Epoch:  25880 	Loss:  2.302506923675537
Epoch:  25890 	Loss:  2.3026723861694336
Epoch:  25900 	Loss:  2.3026275634765625
Epoch:  25910 	Loss:  2.3026177883148193
Epoch:  25920 	Loss:  2.302659511566162
Epoch:  25930 	Loss:  2.3025708198547363
Epoch:  25940 	Loss:  2.30257511138916
Epoch:  25950 	Loss:  2.302565574645996
Epoch:  25960 	Loss:  2.30254864692688
Epoch:  25970 	Loss:  2.3025591373443604
Epoch:  25980 	Loss:  2.3026719093322754
Epoch:  25990 	Loss:  2.302539110183716
Epoch:  26000 	Loss:  2.302683115005493
Epoch:  26010 	Loss:  2.3024752140045166
Epoch:  26020 	Loss:  2.302544116973877
Epoch:  26030 	Loss:  2.302555561065674
Epoch:  26040 	Loss:  2.3026533126831055
Epoch:  26050 	Loss:  2.3026320934295654
Epoch:  26060 	Loss:  2.302579879760742
Epoch:  26070 	Loss:  2.3026623725891113
Epoch:  26080 	Loss:  2.3025360107421875
Epoch:  26090 	Loss:  2.3025732040405273
Epoch:  26100 	Loss:  2.3026623725891113
Epoch:  26110 	Loss:  2.3025264739990234
Epoch:  26120 	Loss:  2.3025779724121094
Epoch:  26130 	Loss:  2.302558422088623
Epoch:  26140 	Loss:  2.302701711654663
Epoch:  26150 	Loss:  2.302584171295166
Epoch:  26160 	Loss:  2.3026890754699707
Epoch:  26170 	Loss:  2.302664041519165
Epoch:  26180 	Loss:  2.3026528358459473
Epoch:  26190 	Loss:  2.3027029037475586
Epoch:  26200 	Loss:  2.3027164936065674
Epoch:  26210 	Loss:  2.3026480674743652
Epoch:  26220 	Loss:  2.302614688873291
Epoch:  26230 	Loss:  2.302700996398926
Epoch:  26240 	Loss:  2.3026864528656006
Epoch:  26250 	Loss:  2.302650213241577
Epoch:  26260 	Loss:  2.302478313446045
Epoch:  26270 	Loss:  2.3026254177093506
Epoch:  26280 	Loss:  2.3026838302612305
Epoch:  26290 	Loss:  2.302582025527954
Epoch:  26300 	Loss:  2.302495002746582
Epoch:  26310 	Loss:  2.3026230335235596
Epoch:  26320 	Loss:  2.3026347160339355
Epoch:  26330 	Loss:  2.302598476409912
Epoch:  26340 	Loss:  2.3026461601257324
Epoch:  26350 	Loss:  2.3025736808776855
Epoch:  26360 	Loss:  2.302628993988037
Epoch:  26370 	Loss:  2.3026576042175293
Epoch:  26380 	Loss:  2.3026256561279297
Epoch:  26390 	Loss:  2.302666187286377
Epoch:  26400 	Loss:  2.3025524616241455
Epoch:  26410 	Loss:  2.30268931388855
Epoch:  26420 	Loss:  2.302579402923584
Epoch:  26430 	Loss:  2.302614688873291
Epoch:  26440 	Loss:  2.302680015563965
Epoch:  26450 	Loss:  2.302574634552002
Epoch:  26460 	Loss:  2.302523612976074
Epoch:  26470 	Loss:  2.3026230335235596
Epoch:  26480 	Loss:  2.302731990814209
Epoch:  26490 	Loss:  2.302652359008789
Epoch:  26500 	Loss:  2.3025667667388916
Epoch:  26510 	Loss:  2.3024964332580566
Epoch:  26520 	Loss:  2.302591323852539
Epoch:  26530 	Loss:  2.3025290966033936
Epoch:  26540 	Loss:  2.302612781524658
Epoch:  26550 	Loss:  2.3027596473693848
Epoch:  26560 	Loss:  2.302614688873291
Epoch:  26570 	Loss:  2.3025922775268555
Epoch:  26580 	Loss:  2.3025715351104736
Epoch:  26590 	Loss:  2.3026037216186523
Epoch:  26600 	Loss:  2.302523374557495
Epoch:  26610 	Loss:  2.302595615386963
Epoch:  26620 	Loss:  2.3025102615356445
Epoch:  26630 	Loss:  2.302650213241577
Epoch:  26640 	Loss:  2.3026788234710693
Epoch:  26650 	Loss:  2.3025636672973633
Epoch:  26660 	Loss:  2.302610158920288
Epoch:  26670 	Loss:  2.302579879760742
Epoch:  26680 	Loss:  2.302579402923584
Epoch:  26690 	Loss:  2.302619457244873
Epoch:  26700 	Loss:  2.302722930908203
Epoch:  26710 	Loss:  2.3025426864624023
Epoch:  26720 	Loss:  2.3025643825531006
Epoch:  26730 	Loss:  2.3025288581848145
Epoch:  26740 	Loss:  2.302661657333374
Epoch:  26750 	Loss:  2.3025851249694824
Epoch:  26760 	Loss:  2.3025918006896973
Epoch:  26770 	Loss:  2.3026323318481445
Epoch:  26780 	Loss:  2.3026115894317627
Epoch:  26790 	Loss:  2.3025736808776855
Epoch:  26800 	Loss:  2.302643299102783
Epoch:  26810 	Loss:  2.3025951385498047
Epoch:  26820 	Loss:  2.302624225616455
Epoch:  26830 	Loss:  2.3027288913726807
Epoch:  26840 	Loss:  2.302586793899536
Epoch:  26850 	Loss:  2.30257248878479
Epoch:  26860 	Loss:  2.3027021884918213
Epoch:  26870 	Loss:  2.30256986618042
Epoch:  26880 	Loss:  2.302694082260132
Epoch:  26890 	Loss:  2.302615165710449
Epoch:  26900 	Loss:  2.3025994300842285
Epoch:  26910 	Loss:  2.3025970458984375
Epoch:  26920 	Loss:  2.302525281906128
Epoch:  26930 	Loss:  2.302621603012085
Epoch:  26940 	Loss:  2.302556037902832
Epoch:  26950 	Loss:  2.3026022911071777
Epoch:  26960 	Loss:  2.302551507949829
Epoch:  26970 	Loss:  2.302567958831787
Epoch:  26980 	Loss:  2.302558183670044
Epoch:  26990 	Loss:  2.302623987197876
Epoch:  27000 	Loss:  2.30263614654541
Epoch:  27010 	Loss:  2.302581787109375
Epoch:  27020 	Loss:  2.3026185035705566
Epoch:  27030 	Loss:  2.3025927543640137
Epoch:  27040 	Loss:  2.3025450706481934
Epoch:  27050 	Loss:  2.3025624752044678
Epoch:  27060 	Loss:  2.3025989532470703
Epoch:  27070 	Loss:  2.302637815475464
Epoch:  27080 	Loss:  2.3026466369628906
Epoch:  27090 	Loss:  2.3025765419006348
Epoch:  27100 	Loss:  2.3025875091552734
Epoch:  27110 	Loss:  2.3026068210601807
Epoch:  27120 	Loss:  2.302654266357422
Epoch:  27130 	Loss:  2.3026044368743896
Epoch:  27140 	Loss:  2.3025760650634766
Epoch:  27150 	Loss:  2.302638292312622
Epoch:  27160 	Loss:  2.302609920501709
Epoch:  27170 	Loss:  2.3025784492492676
Epoch:  27180 	Loss:  2.3026697635650635
Epoch:  27190 	Loss:  2.302546501159668
Epoch:  27200 	Loss:  2.302584171295166
Epoch:  27210 	Loss:  2.302731990814209
Epoch:  27220 	Loss:  2.302615165710449
Epoch:  27230 	Loss:  2.3026366233825684
Epoch:  27240 	Loss:  2.3026633262634277
Epoch:  27250 	Loss:  2.30267071723938
Epoch:  27260 	Loss:  2.3026297092437744
Epoch:  27270 	Loss:  2.3025968074798584
Epoch:  27280 	Loss:  2.3025918006896973
Epoch:  27290 	Loss:  2.30254864692688
